"id","店舗名","店舗名（英語）","住所","住所（英語）","検索条件エリア","カテゴリ（まとめ）","SSID種類","lat","lng"
"373","くまの薬局","Kumano Pharmacy","田辺市本宮町本宮256-1","256-1 Hongucho Hongu, Tanabe-shi","熊野エリア","ショッピング","N","33.836582","135.7715"
"374","本宮石油","Hongu Sekiyu Gas station","田辺市本宮町本宮1575-1","1575-1 Hongucho Hongu, Tanabe-shi","熊野エリア","その他","L","33.836582","135.7715"
"375","ウッドストック","WOOD STOCK Italian Restaurant","田辺市中屋敷町7-1","7-1 Nakayashikimachi, Tanabe-shi","熊野エリア","グルメ","N","33.732929","135.377274"
"376","民宿天空のさと山","Guesthouse Tenku no Satoyama","田辺市中辺路町高原916-1","916-1 Takahara, Nakahechicho, Tanabe-shi","熊野エリア","宿泊","L","33.786282","135.532532"
"377","喫茶　きっちん","Kitchen restaurant and café","田辺市本宮町本宮247-3","Hongu 247-3 Hongucho, Tanabe-shi","熊野エリア","グルメ","N","33.836582","135.7715"
"378","プレジデント椿","President Tsubaki resort condominium","西牟婁郡白浜町椿1055-9","1055-9 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","N","33.60191","135.388779"
"379","リバージュ・スパひきがわ","Rivage Spa Hikigawa Onsen","西牟婁郡白浜町日置1013-25","1013-25 Hioki, Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","N","33.572285","135.429993"
"380","秋津野ガルテン","Restaurant Akizuno Garten","田辺市上秋津4558-8","4558-8 Kamiakizu, Tanabe-shi","熊野エリア","宿泊,グルメ,ショッピング,観光スポット,その他","N","33.756577","135.407379"
"381","美人亭","Bijintei Japanese-Style Bar","田辺市龍神村龍神96-3","96-3 Ryujin, Ryujin-mura, Tanabe-shi","熊野エリア","宿泊","L","33.962479","135.561264"
"382","南方熊楠記念館","Minakata Kumagusu Museum","西牟婁郡白浜町3601-1","3601-1 Shirahamacho, Nishimuro-gun","白浜・串本エリア","観光スポット","N","33.669189","135.402939"
"383","民宿　ゆの里","Minshuku Yunosato ","田辺市 本宮町 下湯川287","287 Shimoyukawa, Hongucho, Tanabe-shi","熊野エリア","宿泊","L","33.824139","135.754578"
"384","ワインディングロード","Variety Store Winding Road","田辺市末広町17-21","17-21 Suehirocho, Tanabe-shi","熊野エリア","宿泊","N","33.724377","135.382416"
"385","熊野ガラス工房","KUMANO Glass Workshop","田辺市本宮町本宮294","294 Tanabe-shi","熊野エリア","グルメ,ショッピング,その他","N","33.836582","135.7715"
"386","ビデオボックスREMOVA田辺店","Video Box Remova DVD rental shop, tanabe ","田辺市本町63","63 Honmachi, Tanabe-shi","熊野エリア","ショッピング","L","33.73312","135.375534"
"387","ＧＡＭＥ　ＢＯＸ　ワンパク　田辺店","Game Box Wanpaku Tanabe Shop","田辺市本町63-3","63-3 Honmachi, Tanabe-shi","熊野エリア","ショッピング","L","33.73312","135.375534"
"388","ＧＡＭＥ　ＢＯＸ　ワンパク　新庄店","Game Box Wanpaku Shinjo Shop","田辺市新庄町1977-4","1977-4 Shinjocho, Tanabe-shi","熊野エリア","ショッピング","L","33.717064","135.404175"
"389","正寿院","Shoujuin temple","田辺市上芳養993-2","993-2 Kamihaya, Tanabe-shi","熊野エリア","観光スポット,その他","N","33.788071","135.365509"
"390","民宿若竹","Wakatake guesthouse and Japanese-style bar","和歌山県西牟婁郡白浜町椿1062-8","1062-8 Tsubaki, Shirahamacho, Nishimuro-gun, Wakayama","白浜・串本エリア","宿泊,グルメ","L","33.60191","135.388779"
"391","箸折茶屋","Restaurant Hashiorichaya","田辺市中辺路町近露907-2","907-2 Chikatsuyu, Nakahechicho, Tanabe-shi","熊野エリア","グルメ","N","33.814606","135.605484"
"392","旬菜台所とも","Seasonal Vegetable Kitchen Tomo Restaurant","西牟婁郡白浜町1384-53","1384-53 Shirahamacho, Nishimuro-gun","白浜・串本エリア","グルメ","N","33.669189","135.402939"
"393","お好み焼きおがわ","Ogawa okonomiyaki restaurant","西牟婁郡白浜町3309-27","3309-27 Shirahamacho, Nishimuro-gun","白浜・串本エリア","グルメ","L","33.669189","135.402939"
"394","お食事しもじ　本店","Restaurant Oshokuji Shimoji Head Restaurant","田辺市本宮町請川330-1","330-1 Ukegawa, Hongucho, Tanabe-shi","熊野エリア","グルメ","N","33.811665","135.802734"
"395","お食事しもじ　本宮店","Restaurant Oshokuji Shimoji Hongu","田辺市本宮町本宮285","285 Hongu, Hongucho, Tanabe-shi","熊野エリア","グルメ","N","33.836582","135.7715"
"396","Ｙショップ　シモジ","Y Shop Shimoji Convenience Store","田辺市本宮町請川329-3","329-3 Ukegawa, Hongucho, Tanabe-shi","熊野エリア","ショッピング","N","33.811665","135.802734"
"397","紀伊田辺シティプラザホテル","Kii Tanabe City Plaza Hotel","田辺市東山1-5-32","1-5-32 Higashiyama, Tanabe-shi","熊野エリア","宿泊","L","33.728722","135.388626"
"398","亀屋旅館","Kameya Ryokan","田辺市本宮町川湯1434","1434 Kawayu, Hongucho, Tanabe-shi","熊野エリア","宿泊","N","33.810955","135.774078"
"399","海のお宿","Umi no Oyado, hotel","西牟婁郡すさみ町江住906-18","906-18 Esumi, Susamicho, Nishimuro-gun","白浜・串本エリア","宿泊","L","33.515518","135.601379"
"400","ホテル　ベルヴェデーレ","Hotel Bellevedere","西牟婁郡すさみ町周参見4857-3","4857-3 Susami, Susamicho, Nishimuro-gun","白浜・串本エリア","宿泊","L","33.560928","135.479401"
"401","民宿　前田屋","Minshuku Maedaya","西牟婁郡白浜町久木869-33","869-33 Hisagi, Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L","33.637341","135.471024"
"402","田辺市旅館業組合","Tanabe-shi accomodation information office","田辺市湊727‐2 田辺市観光ｾﾝﾀｰ2階","Tanabe City Tourist Center 2F, 727-2 Minato, Tanabe-shi","熊野エリア","公共交通,観光スポット,その他","L","33.731586","135.385666"
"403","村田写真館","Murata Photo Shop","田辺市今福町91","91 Imafukumachi, Tanabe-shi","熊野エリア","ショッピング","N","33.732738","135.378494"
"404","よしのや旅館","Yoshinoya Inn","田辺市本宮町湯峯359","359 Honguchoyunomine, Tanabe-shi","熊野エリア","宿泊","N","33.833786","135.755417"
"405","海鮮料理　甚力","Jin Rikky Seafood Restaurant","西牟婁郡白浜町3079","3079 Shirahamacho, Nishimuro-gun","白浜・串本エリア","グルメ","L","33.669189","135.402939"
"406","ホテル　ルアンドン白浜","Hotel Luan Don Shirahama","西牟婁郡白浜町3354-9","3354-9 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L","33.669189","135.402939"
"407","観音寺","Kannonji temple","西牟婁郡上富田町1977","1977  Kamitondacho, Nishimuro-gun","白浜・串本エリア","観光スポット,その他","L","33.696411","135.428452"
"408","とれとれ市場 南紀白浜","Tore Tore Ichiba Seafood Market","西牟婁郡白浜町堅田2521","2521 Katata, Shirahamacho, Nishimuro-gun","白浜・串本エリア","グルメ,ショッピング,観光スポット,その他","N","33.681217","135.375015"
"409","白浜温泉紀州路","Shirahama Onsen Kishuji Accommodation","西牟婁郡白浜町3018-2","3018-2 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L","33.669189","135.402939"
"410","まるまさラーメン","Marumasa Ramen Restaurant","西牟婁郡白浜町890-37","890-37 Shirahamacho, Nishimuro-gun","白浜・串本エリア","グルメ","N","33.669189","135.402939"
"411","闘鶏神社","Toukei-jinja Shrine","田辺市東陽1-1","1-1 Touyou, Tanabe-shi","熊野エリア","観光スポット,その他","N","33.728203","135.390945"
"412","川湯みどりや","Kawayu Midoriya Ryokan","田辺市本宮町川湯13","13 Hongucho Kawayu, Tanabe-shi","熊野エリア","宿泊","L","33.810955","135.774078"
"413","川湯まつや","Kawayu Matsuya Inn","田辺市本宮町川湯29","13 Kawayu Hongucho, Tanabe-shi","熊野エリア","宿泊","N","33.810955","135.774078"
"414","民宿浜ぼう","Hamabou Minshuku","西牟婁郡白浜町49-1","49-1 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L","33.669189","135.402939"
"415","居酒屋　卯八","Japanese-style Bar Uhachi","西牟婁郡白浜町2927-105","2927-105 Shirahamacho, Nishimuro-gun","白浜・串本エリア","グルメ","N","33.669189","135.402939"
"416","ホテルサンリゾート白浜","Hotel Sunresort Shirahama","西牟婁郡白浜町堅田2500-185","2500-185 Katata, Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L","33.684429","135.367401"
"417","二宮","Ninomiya Japanese-style confection store","田辺市下屋敷町27","27 Shimoyashikimachi, Tanabe-shi","熊野エリア","グルメ,ショッピング","N","33.73","135.381348"
"418","熊野本宮大社","Kumano Hongu Taisha Grand Shrine","田辺市本宮町本宮1110","1110 Honguchohongu, Tanabe-shi","熊野エリア","観光スポット,その他","N","33.836582","135.7715"
"419","瑞鳳殿","Zuihoden","田辺市本宮町本宮195-3","195-3 Honguchohongu, Tanabe-shi","熊野エリア","グルメ,ショッピング,観光スポット,その他","N","33.836582","135.7715"
"420","湯の峯荘","Yunominesou Inn","田辺市本宮町下湯川437","437 Shimoyukawa, Hongucho, Tanabe-shi","熊野エリア","宿泊","N","33.824139","135.754578"
"421","瀧よし","Minshuku Takiyoshi ","田辺市本宮町湯峯260-4","260-4 Yunomine, Hongucho, Tanabe-shi","熊野エリア","宿泊","N","33.833786","135.755417"
"422","Ｖショップ滝内店","V Shop Supermarket Takinai Store","田辺市新庄町2915-328","2915-328 Shinjocho, Tanabe-shi","熊野エリア","ショッピング","N","33.705635","135.396301"
"423","Ｖショップ桟橋店","V Shop Supermarket Sanbashi Store","西牟婁郡白浜町3744-3","3744-3 Shirahamacho, Nishimuro-gun","白浜・串本エリア","ショッピング","N","33.669189","135.402939"
"424","ザグランリゾートエレガンテ白浜","THE GRAN RESORT Elegante Shirahama Membership Hotel","西牟婁郡白浜町1813-8","1813-8 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L","33.669189","135.402939"
"425","ホテルグリーンヒル白浜","Hotel Green Hill Shirahama","西牟婁郡白浜町2018","2018 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","L","33.669189","135.402939"
"426","玄米彩菜","Restaurant Genmaisaisai","田辺市新屋敷町6-1ﾊﾟｰｸｻｲﾄﾞﾎﾃﾙ7F","Parkside Hotel 7F, 6-1 Shinyashikimachi, Tanabe-shi","熊野エリア","グルメ","L","33.726452","135.378738"
"427","鮨康","Japanese Restaurant Sushiko","田辺市高雄1丁目1-12","1-1-12 Takao, Tanabe-shi","熊野エリア","グルメ","L","33.734985","135.381363"
"428","ハピネスちかつゆ","Happiness Chikatsuyu Rental House","田辺市近露606-2","606-2 Chikatsuyu, Tanabe-shi","熊野エリア","宿泊","L","33.727798","135.377701"
"429","南紀白浜梅樽温泉ホテルシーモア","Nanki Shirahama Umedaru Onsen HOTEL SEAMORE","西牟婁郡白浜町1821","1821 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","N","33.669189","135.402939"
"430","温泉三昧の宿白浜館","Onsen Hotel Shirahamakan","西牟婁郡白浜町1379","1379 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","N","33.669189","135.402939"
"431","ホテル天山閣海ゆぅ庭","Hotel Tenzankaku Kaiyutei","西牟婁郡白浜町2020","2020 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","N","33.669189","135.402939"
"432","ホテル天山閣湯楽庵","Hotel Tenzankaku Yurakuan","西牟婁郡白浜町2927-553","2927-553 Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","N","33.669189","135.402939"
"433","民宿ｉｎｎしらはま駅の宿","Minshuku Inn Shirahama Station Accommodation","西牟婁郡白浜町堅田1479-1","1479-1 Katata, Shirahamacho, Nishimuro-gun","白浜・串本エリア","宿泊","N","33.680035","135.375351"
"434","休憩処いっぷく","Kyukeidokoro Ippuku Dining","田辺市本宮町本宮108-1","108-1 Hongu, Hongucho, Tanabe-shi","熊野エリア","グルメ","N","33.836582","135.7715"
"435","まちなかキッチン","Machinaka Kitchen Restaurant","西牟婁郡白浜町3300-19","3300-19 Shirahamacho, Nishimuro-gun","白浜・串本エリア","グルメ","L","33.669189","135.402939"
"436","民宿亀の井","Kamenoi Inn","東牟婁郡那智勝浦町朝日4丁目73番地","4-73 Asahi, Nachikatsuuracho, Higashimuro-gun","熊野エリア","宿泊","L","33.631161","135.9384"
"437","民宿小出","Koide Inn","東牟婁郡那智勝浦町天満867-6","867-6 Tenma, Nachikatsuuracho, Higashimuro-gun","熊野エリア","宿泊","L","33.631325","135.939194"
"438","花風月","Cafe Kafugetsu","新宮市上本町1-2-2","1-2-2 Kamihonmachi, Shingu-shi","熊野エリア","グルメ","L","33.731071","135.984909"
"439","那智山観光センター","Nachisan Tourism Center ","東牟婁郡那智勝浦町那智山442-2","442-2 Nachisan, Nachikatsuuracho, Higashimuro-gun","熊野エリア","グルメ,ショッピング,公共交通,観光スポット,その他","N","33.669655","135.892197"
"440","あづま寿司","Azuma Sushi","新宮市橋本2丁目11-33","2-11-33 Hashimoto, Shingu-shi","熊野エリア","グルメ","N","33.715172","135.98941"
"441","民宿　百福","Guesthouse Momofuku","新宮市熊野川町西224-3","224-3 Nishi, Kumanogawacho, Shingu-shi","熊野エリア","宿泊","L","33.756035","135.830261"
"442","徐福寿司　駅前店","Jofukuzushi Restaurant, Ekimae Branch","新宮市徐福2-1-9","2-1-9 Jofuku, Shingu-shi","熊野エリア","グルメ","N","33.725517","135.994507"
"443","堀田精肉店","Hotta Meat Shop","新宮市神倉1丁目4-5","1-4-5 Kamikura, Shingu-shi","熊野エリア","ショッピング","N","33.723415","135.98616"
"444","紀南石油販売所勝浦サービスステーション","Kinan Sekiyu gas station, Katsuura","東牟婁郡那智勝浦町朝日2丁目-231","2-231 Asahi, Nachikatsuuracho, Higashimuro-gun","熊野エリア","その他","N","33.629745","135.937912"
"445","紀南石油販売所新宮サービスステーション","Kinan Sekiyu gas station, Shingu","新宮市神倉2丁目-9-13","2-9-13 Kamikura, Shingu-shi","熊野エリア","その他","N","33.722271","135.986801"
"446","おむすび一郎","Omusubi Ichiro riceball take out shop, main shop","新宮市神倉1丁目7-26","1-7-26 Kamikura, Shingu-shi","熊野エリア","ショッピング","N","33.722279","135.986099"
"447","熊野物産","Kumano Bussan regional specialty products store ","新宮市神倉2丁目8-11","2-8-11 Kamikura, Shingu-shi","熊野エリア","ショッピング","N","33.722794","135.986816"
"448","堀忠酒店","Horichu Liquor Shop","東牟婁郡那智勝浦町築地3-3-6","3-3-6 Tsukiji, Nachikatsuuracho, Higashimuro-gun","熊野エリア","ショッピング","N","33.628136","135.943436"
"449","潮岬青少年の家","Shionomisaki youth house","東牟婁郡串本町潮岬669","669 Shionomisaki, Kushimotocho, Higashimuro-gun","白浜・串本エリア","宿泊","L","33.447922","135.760422"
"450","みさきロッヂ　西田","Misaki Lodge Nishida Minshuku","東牟婁郡串本町潮岬2864-1","2864-1 Shionomisaki, Kishimotocho, Higashimuro-gun","白浜・串本エリア","宿泊","L","33.447922","135.760422"
"451","民宿　チャイム","Chime Inn","東牟婁郡串本町潮岬669","669 Shionomisaki, Kushimotocho, Higashimuro-gun","白浜・串本エリア","宿泊","L","33.447922","135.760422"
