"店舗名","店舗名（英語）","住所","住所（英語）","検索条件エリア","カテゴリ（まとめ）","SSID種類"
"徐福寿司　駅前店","Jofukuzushi Restaurant, Ekimae Branch","新宮市徐福2-1-9","2-1-9 Jofuku, Shingu-shi","熊野エリア","グルメ","N"
"堀田精肉店","Hotta Meat Shop","新宮市神倉1丁目4-5","1-4-5 Kamikura, Shingu-shi","熊野エリア","ショッピング","N"
"紀南石油販売所勝浦サービスステーション","Kinan Sekiyu gas station, Katsuura","東牟婁郡那智勝浦町朝日2丁目-231","2-231 Asahi, Nachikatsuuracho, Higashimuro-gun","熊野エリア","その他","N"
"紀南石油販売所新宮サービスステーション","Kinan Sekiyu gas station, Shingu","新宮市神倉2丁目-9-13","2-9-13 Kamikura, Shingu-shi","熊野エリア","その他","N"
"おむすび一郎","Omusubi Ichiro riceball take out shop, main shop","新宮市神倉1丁目7-26","1-7-26 Kamikura, Shingu-shi","熊野エリア","ショッピング","N"
"熊野物産","Kumano Bussan regional specialty products store ","新宮市神倉2丁目8-11","2-8-11 Kamikura, Shingu-shi","熊野エリア","ショッピング","N"
"堀忠酒店","Horichu Liquor Shop","東牟婁郡那智勝浦町築地3-3-6","3-3-6 Tsukiji, Nachikatsuuracho, Higashimuro-gun","熊野エリア","ショッピング","N"
"潮岬青少年の家","Shionomisaki youth house","東牟婁郡串本町潮岬669","669 Shionomisaki, Kushimotocho, Higashimuro-gun","白浜・串本エリア","宿泊","L"
"みさきロッヂ　西田","Misaki Lodge Nishida Minshuku","東牟婁郡串本町潮岬2864-1","2864-1 Shionomisaki, Kishimotocho, Higashimuro-gun","白浜・串本エリア","宿泊","L"
"民宿　チャイム","Chime Inn","東牟婁郡串本町潮岬669","669 Shionomisaki, Kushimotocho, Higashimuro-gun","白浜・串本エリア","宿泊","L"
"古座観光協会　観光案内所","Koza tourist information center","東牟婁郡串本町西向231-3","231-3 Nishimukai, Kushimotocho, Higashimuro-gun","白浜・串本エリア","ショッピング,公共交通,観光スポット,その他","N"
"新宮市観光協会　観光案内所","Shingu-shi tourist information center","新宮市徐福2丁目1-1","2-1-1 Jofuku, Shingu-shi","熊野エリア","公共交通,観光スポット,その他","N"
"ｍ’ａｆｆａｂｌｙ","m'affably Aroma shop","新宮市熊野川町西225-2","225-2 Kumanogawachonishi, Shingu-shi","熊野エリア","ショッピング","L"
"串本町観光協会　観光案内所","Kushimoto-cho tourist information center","東牟婁郡串本町串本33","33 Kushimoto, Kushimotocho, Higashimuro-gun","白浜・串本エリア","公共交通,その他","N"
"御食事処桂城","Oshokujidokoro Katsuragi Restaurant","東牟婁郡那智勝浦町勝浦398-11","398-11 Katsuura, Nachikatsuuracho, Higashimuro-gun","熊野エリア","グルメ","L"
"ホテル浦島","Hotel Urashima","東牟婁郡那智勝浦町勝浦1165-2","1165-2 Katsuura, Nachikatsuuracho, Higashimuro-gun","熊野エリア","宿泊","L"
"万清楼","Manseiro Inn","東牟婁郡那智勝浦町勝浦448","448 Katsuura, Nachikatsuuracho, Higashimuro-gun","熊野エリア","宿泊","L"
"和風料理ｂｏｄａｉ（ボダイ）","Bodai Wafu Ryori Restaurant","東牟婁郡那智勝浦町築地5-1-3","5-1-3 Tsukiji, Nachikatsuuracho, Higashimuro-gun","熊野エリア","グルメ","N"
"ノエビア　新宮中央販売","NOEVIR Cosmetics shop, Shingu Chuo","東牟婁郡那智勝浦町宇久井57-1","57-1 Ugui, Nachikatsuuracho, Higashimuro-gun","熊野エリア","ショッピング","L"
"ダイブリゾート田子","Dive Resort Tako","東牟婁郡串本町田子619","619 Tako, Kushimotocho, Higashimuro-gun","白浜・串本エリア","観光スポット,その他","L"
"味斗","Ajito Seafood Restaurant","新宮市横町1-1-9","1-1-9 Yokomachi, ,Shingu-shi","熊野エリア","グルメ","N"
"民宿喫茶たい島","Taijima guesthouse and cafe","東牟婁郡串本町西向1260-2","1260-2 Nishimukai, Kushimotocho, Higashimuro-gun","白浜・串本エリア","宿泊,グルメ","L"
"まえ田","Maeda Sushi and Japanese restaurant","新宮市橋本2-10-30","2-10-30 Hashimoto, Shingu-shi","熊野エリア","グルメ","L"
"うどん・そば　はし杭","Hashigui noodle restaurant","東牟婁郡串本町くじの川1548-1","1548-1 Kujinokawa, Kushimoto-cho, Higashimuro-gun","白浜・串本エリア","宿泊,グルメ","L"
"ビジネスホテル　くすもと","Business Hotel Kusumoto","東牟婁郡那智勝浦町築地7丁目6-25","7-6-25 Tsukiji, Nachikatsuuracho, Higashimuro-gun","熊野エリア","宿泊","L"
"ヴァレ・ノワ－ル","Cafe Valley Noir ","東牟婁郡串本町津荷133","133 Tsuga, Kushimotocho, Higashimuro-gun","白浜・串本エリア","グルメ","N"
"モスバーガー　新宮店","MOSBURGER, Shingu","新宮市下田2丁目2-7","2-2-7 Shimoda, Shingu-shi","熊野エリア","グルメ","L"
"串本応挙芦雪館","Kushimoto Okyo Rosetsu Art Museum","東牟婁郡串本町串本833","833 Kushimoto, kushimotocho, Higashimuro-gun","白浜・串本エリア","観光スポット","N"
"和の食彩　古城","Kojo, Japanese restaurant","新宮市神倉4-3-18","4-3-18 Kamikura, Shingu-shi","熊野エリア","グルメ","N"
"那智勝浦町観光協会　観光案内所","Nachikatsuura-cho tourist information center","東牟婁郡那智勝浦築地6丁目1番地1","6-1-1 nachikatsuura, Higashimuro-gun","熊野エリア","公共交通,観光スポット,その他","N"
"温泉民宿　小阪屋","Onsen Minshuku Kosakaya","東牟婁郡那智勝浦町北浜1-18","1-18 Kitahama, Nachikatsuuracho, Higashimuro-gun","熊野エリア","宿泊","L"
"不二家オークワ新宮仲之町店","Fujiya confectionery Okuwa Shingu Nakanocho store","新宮市谷王子町418-1","418-1 Taniojicho, Shingu-shi","熊野エリア","グルメ,ショッピング","N"
"（有）リフレわかやま","Rifre Wakayama Co., Ltd., internet service","新宮市神倉2-7-32","2-7-32 Kamikura, Shingu-shi","熊野エリア","ショッピング","N"
"つぼちゃ青果","Tsubocha fruit shop","新宮市神倉2-7-27","2-7-32 Kamikura, Shingu-shi","熊野エリア","ショッピング","N"
"松　寿司","Restaurant Matsu Sushi","東牟婁郡串本町串本1735-91","1735-91 Kushimoto, Kushimotocho, Higashimuro-gun","白浜・串本エリア","グルメ","N"
"花清","Hanasei flower shop","新宮市神倉1-6-5","1-6-5 Kamikura, Shingu-shi","熊野エリア","ショッピング","N"
"熊野水軍　天酔","Kumano Suigun, Tensui, Japanese culinary art restaurant","新宮市伊佐田町1-3-12","1-3-12 Isadacho, Shingu-shi","熊野エリア","グルメ","N"
"かつうら御苑","Hotel Katsuura gyoen","那智勝浦町勝浦216-19","216-19 Katsuura, Nachikatsuuracho","熊野エリア","宿泊","L"
"中華料理　万惣","Chinese Restaurant Manso","新宮市横町2-2-16","2-2-16 Yokomachi, Shingu-shi","熊野エリア","グルメ","N"
"太地フィールドカヤック","Field Kayak tour, Taijicho branch of Japan Fisheries Co-operatives","東牟婁郡太地町森浦685-27","685-27 Moriura, Taijicho, Higashi Muro-gun","熊野エリア","観光スポット,その他","L"
"イル・ド・フランス","ILE DE FRANCE, French restaurant","新宮市新宮7697","7697 Shingu, Shingu-shi","熊野エリア","グルメ","N"
"勝浦漁業協同組合（魚市場見学）","Katsuura fish market","那智勝浦町築地7-8-2","7-8-2 Tsukiji, Nachikatsuuracho","熊野エリア","観光スポット,その他","L"
"祥源寺","Shogenji temple","東牟婁郡古座川町高池500","500 Takaike, Kozagawacho,  Higashi Muro-gun","白浜・串本エリア","観光スポット","L"
"サンタウンホール","Suntown Hall","新宮市仲之町1丁目2-6","1-2-6 Nakanocho, Shingu-shi","熊野エリア","その他","N"
"ビストロ　プティジョア","Petit joie, bistro","新宮市別当屋敷町4-7","4-7 Bettoyashikicho, Shingu-shi","熊野エリア","グルメ","N"
"みなみ野フィールズ不動坂","Minamino Fields Fudozaka Camping Ground","東牟婁郡那智勝浦町南平野1227","1227 Minamihirano, Nachikatsuuracho, Higashimuro-gun","熊野エリア","宿泊","L"
"やまさき屋旅館","Yamasakiya Ryokan","東牟婁郡古座川町高池225","225 Takaike, Kozagawacho, Higashimuro-gun","白浜・串本エリア","宿泊","L"
"民宿わかたけ","Minshuku Wakatake","那智勝浦町朝日3-34","3-34 Asahi, Nachikatsuuracho","熊野エリア","宿泊","L"
"シートピア串本","Diving Shop Seatopia Kushimoto","東牟婁郡串本町高富580-1","580-1 Takatomi, Kushimotocho, Higashimuro-gun","白浜・串本エリア","観光スポット,その他","L"
"焼肉ひげ","Yakiniku Hige, Kumano beef BBQ restaurant","新宮市神倉4-3-19","4-3-19 Kamikura, Shingu-shi","熊野エリア","グルメ","N"
"雅楽","Garaku, Japanese culinary art restaurant","新宮市下田2丁目3-40","2-3-40 Shimoda, Shingu-shi","熊野エリア","グルメ","L"
"涼風","Creation Foods Dining Suzuka Restaurant","新宮市新宮7684-39","7684-39 Shingu, Shingu-shi","熊野エリア","グルメ","N"
"はもん亭","Hamon tei restaurant","新宮市神倉4-3-2","4-3-2 Kamikura, Shingu-shi","熊野エリア","グルメ","N"
"心楽","Shinraku, Japanese style pub","新宮市緑ヶ丘1丁目1-34明洋ﾋﾞｼﾞﾈｽｾﾝﾀｰ1F","Meiyo Business Center 1F, 1-1-34 Midorigaoka, Shingu-shi","熊野エリア","グルメ","L"
"ソップ亭","Soppu tei, sumo hot pot restaurant","新宮市徐福1-3-8","1-3-8 Jofuku, Shingu-shi","熊野エリア","グルメ","N"
"JR・南海橋本駅","JR・NANKAI Hashimoto Sta.","橋本市古佐田1-4-51","1-4-51 Kosada, Hashimoto-shi","高野山エリア","公共交通","L"
"JR　高野口","JR Koyaguchi Sta.","橋本市高野口町名倉字城跡790-2","790-2 Nagura, Koyaguchi-cho","高野山エリア","公共交通","L"
"橋本市図書館","Hashimoto City Library","橋本市東家1-6-27","1-6-27 Toge, Hashimoto-shi","高野山エリア","その他","N"
"くまの古道歴史民俗資料館","Kumano Kodo Museum of History and Folklore","有田市糸我町中番330-2","330-2 Nakaban, Itogacho, Arida-shi","有田・湯浅・日高エリア","観光スポット","L"
"龍神宮代オートキャンプ場","Ryujin Miyashiro Autocamp Field","田辺市龍神村宮代620","620 Miyashiro, ryujin-mura, Tanabe-shi","熊野エリア","宿泊","L"
"龍神温泉元湯別館","Ryujin Onsen Motoyu annex","田辺市龍神村龍神5","5 Ryujin,ryujin-mura,Tanabe-shi","熊野エリア","宿泊","L"
"龍神温泉元湯","Ryujin Onsen Motoyu","田辺市龍神村龍神37","37 Ryujin,ryujin-mura,Tanabe-shi","熊野エリア","宿泊","L"
"季楽里龍神","Kirari-Ryujin Hotel","田辺市龍神村龍神189","189 Ryujin,ryujin-mura,Tanabe-shi","熊野エリア","宿泊,グルメ,ショッピング,観光スポット","L"
"林業開発センター　深山荘","Shinzanso","田辺市龍神村小又川281","281 Komatagawa,ryujin-mura,Tanabe-shi","熊野エリア","宿泊","L"
"丹生ヤマセミ温泉館","Yamasemi-Onsenkan","田辺市龍神村丹生ﾉ川275-2","275-2 Nyunogawa,ryujin-mura,Tanabe-shi","熊野エリア","宿泊,その他","L"
"熊野の郷　古道ケ丘","Kodo-ga-oka","田辺市中辺路町栗栖川844-100","844-100 Kurisugawa,Nakahechi-cho,Tanabe-shi","熊野エリア","宿泊","L"
"近露観光交流館　かめや","Chikatsuyu Experience Center""Kameya""","田辺市中辺路町近露1129","1129 Chikatuyu,Nakahechi-cho,Tanabe-shi","熊野エリア","グルメ,観光スポット,その他","L"
"クアハウス熊野本宮","Kurhaus Kumano Hongu","田辺市本宮町渡瀬45-3","45-3 Wataze,Hongu-cho,Tanabe-shi","熊野エリア","宿泊,その他","L"
"田辺市立武道館","Tanabe Martial Arts Gymnasium","田辺市目良44-8","44-8 Mera,Tanabe-shi","熊野エリア","その他","L"
"田辺市立弓道場","Tanabe Japanese Archery Training Hall","田辺市目良42-1","42-1 Mera,Tanabe-shi","熊野エリア","その他","L"
"徐福公園","Jofuku Park","新宮市徐福1-4-24","1-4-24 Jofuku, Shingu-shi","熊野エリア","観光スポット","N"
"熊野川温泉さつき","Kumanogawa Onsen Satsuki,  onsen bath","新宮市熊野川町日足707","707 Hitari, Kumanogawacho Shingu-shi","熊野エリア","その他","L"
"小口自然の家","Koguchi camp site & lodging facility","新宮市熊野川町上長井398","398 Kaminagai, Kumanogawacho, Shingu-shi","熊野エリア","宿泊","N"
"川舟センター","Kumano river Kawabune boat tour center","新宮市熊野川町日足350","350 Hitari, Kumanogawacho Shingu-shi","熊野エリア","観光スポット,その他","N"
"まちなか観光情報センター","Machinaka tourist information center","新宮市浮島6","6 Ukijima, Shingu-shi","熊野エリア","観光スポット,その他","N"
"浮島の森","Ukijima-No-Mori Island","新宮市浮島3ｰ38","3-38 Ukijima, Shingu-shi","熊野エリア","観光スポット","N"
"川原家横丁","Kawaraya Yokocho Store Alley","新宮市船町1-2-1","1-2-1 Funamachi, Shingu-shi","熊野エリア","グルメ,ショッピング,観光スポット,その他","L"
"神倉神社","Kamikura-jinja Shrine","新宮市神倉1-13-8","1-13-8 Kamikura, Shingu-shi","熊野エリア","観光スポット,その他","N"
"新宮市立歴史民俗資料館","Shingu Museum of History and Folkore","新宮市阿須賀1-2-28","1-2-28 Asuka, Shingu-shi","熊野エリア","観光スポット","L"
"青州の里フラワーヒルミュージアム","Flower Hill Museum Seishu-no-sato","紀の川市西野山473","473 Nishinoyama, Kinokawa-shi","和歌山市エリア","グルメ,ショッピング,観光スポット","N"
"のかみふれあい公園","Nokami Fureai Park","海草郡紀美野町西野971","971 Nishino, Minocho, Kaiso-gun","和歌山市エリア","観光スポット,その他","N"
"みさと天文台","Misato Astronomical Observatory","海草郡紀美野町松ヶ峯180","180 Matsugamine, Kiminocho, Kaiso-gun","和歌山市エリア","観光スポット","N"
"かつらぎ町笠田観光案内所","Tourist Information Center Kaseda Katsuragicho","伊都郡かつらぎ町笠田東19-1","19-1 Kasedahigashi, Katsuragicho, Ito-gun","高野山エリア","公共交通,観光スポット,その他","N"
"かつらぎ町天野地域交流センター","Katsuragicho Amano District Exchange Center","伊都郡かつらぎ町下天野927","927 Shimoamano, Katsuragicho, Ito-gun","高野山エリア","観光スポット,その他","N"
"かつらぎ町四郷地域交流センター","Katsuragicho Shigo District Exchange Center","伊都郡かつらぎ町広口1197","1197 Hirokuchi, Katsuragicho, Ito-gun","高野山エリア","観光スポット,その他","N"
"九度山・真田ミュージアム","Kudoyama Sanada Museum","伊都郡九度山町九度山1452-4","1452-4 Kudoyama, Kudoyamacho, Ito-gun","高野山エリア","観光スポット,その他","L"
"稲むらの火の館","Inamura No Hi No Yakata","有田郡広川町大字広671","671 Ooazahiro, Hirogawacho, Arida-gun","有田・湯浅・日高エリア","観光スポット","N"
"ほたるの湯","Hotarunoyu Hot Spring Resort","有田郡広川町下津木1539","1539 Shimotsugi. Hirogawacho, Arida-gun","有田・湯浅・日高エリア","宿泊,グルメ,その他","N"
"温泉館「海の里」みちしおの湯","Onsenkan Uminosato Michishionoyu Onsen","日高郡日高町方杭100番地","100 Katakui, Hidakacho, Hidaka-gun","有田・湯浅・日高エリア","グルメ,その他","L"
"海の家産湯","Uminoie Ubuyu Beach Hut","日高郡日高町産湯"," Ubuyu, Hidakacho, Hidaka-gun","有田・湯浅・日高エリア","その他","L"
"日高川交流センター","Hidakagawa Exchange Center","日高郡日高川町高津尾718-3","718-3 Takatsuo, Hidakagawacho, Hidaka-gun","有田・湯浅・日高エリア","観光スポット,その他","N"
"上富田町産業振興・文化交流会館","Kamitondacho, Industry Promotion & Cultural Exchange Center","西牟婁郡上富田町朝来2537-57","2537-57 Asso, Kamitondacho, Nishimuro-gun","白浜・串本エリア","観光スポット,その他","L"
"おくとろ公園","Okutoro Park Bungalow","東牟婁郡北山村大字下尾井おくとろ公園ｷｬﾝﾌﾟ場","Okutoro Park Camping Site,  Shimooi, Kitayamamura, Higashimuro-gun","熊野エリア","宿泊,グルメ,ショッピング,観光スポット,その他","L"
"トルコ記念館","Turkish Museum","東牟婁郡串本町樫野1025-26","1025-26 Kashino, Kushimotocho, Higashi Muro-gun","白浜・串本エリア","観光スポット,その他","N"
"田辺市役所","Tanabe-shi Hall","田辺市新屋敷町1","1 Shinyashiki-cho,Tanabe-shi","熊野エリア","その他","L"
"田辺市観光センター","Tanabe Tourist information Center","田辺市湊727-2","727-2 Minato,Tanabe-shi","熊野エリア","観光スポット,その他","L"
"扇ケ浜公園","Ogigahama Park","田辺市扇ｹ浜","Ougigahama Tanabe-shi","熊野エリア","観光スポット","L"
